ad_id;Street;City_Code;;;;;;
253;Auringen - Mitte; Wiesbaden (65207);Auringen - Mitte,  Wiesbaden (65207);0;;;;
254;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);352;;;;
255;Klarenthal - Nord; Wiesbaden (65197);Klarenthal - Nord,  Wiesbaden (65197);0;;;;
256;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
257;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
258;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
259;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
260;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);352;;;;
261;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
262;Riederbergstrasse; Wiesbaden (65195);Riederbergstrasse,  Wiesbaden (65195);1000;;;;
263;Naurod - Sud; Wiesbaden (65207);Naurod - Sud,  Wiesbaden (65207);0;;;;
264;Eigenheim; Wiesbaden (65193);Eigenheim,  Wiesbaden (65193);305;;;;
265;Schierstein - Mitte; Wiesbaden / Schierstein (65201);Schierstein - Mitte,  Wiesbaden / Schierstein (65201);0;;;;
266;Hochfeld; Wiesbaden (65205);Hochfeld,  Wiesbaden (65205);340;;;;
267;Birnbaum; Wiesbaden / Sonnenberg (65191);Birnbaum,  Wiesbaden / Sonnenberg (65191);200;;;;
268;Birnbaum; Wiesbaden / Sonnenberg (65191);Birnbaum,  Wiesbaden / Sonnenberg (65191);200;;;;
269;Igstadt - Mitte; Wiesbaden (65207);Igstadt - Mitte,  Wiesbaden (65207);0;;;;
270;Sooderstrasse; Wiesbaden Sonnenberg (65191);Sooderstrasse,  Wiesbaden Sonnenberg (65191);290;;;;
271;Zentrum; Wiesbaden (65183);Zentrum,  Wiesbaden (65183);1465;;;;
272;Sonnenberg - Mitte; Wiesbaden (65191);Sonnenberg - Mitte,  Wiesbaden (65191);0;;;;
273;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
274;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
275;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
276;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
277;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
278;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
279;Nordenstadt - West; Wiesbaden (65205);Nordenstadt - West,  Wiesbaden (65205);0;;;;
280;Zentrum; Wiesbaden (65185);Zentrum,  Wiesbaden (65185);1465;;;;
281;Delkenheim - Mitte; Wiesbaden (65205);Delkenheim - Mitte,  Wiesbaden (65205);0;;;;
282;Speierlingstrasse 48; Wiesbaden (65191);Speierlingstrasse 48,  Wiesbaden (65191);205;;;;
283;Schelmengraben; Wiesbaden (65199);Schelmengraben,  Wiesbaden (65199);465;;;;
284;Biebrich - Mitte; Wiesbaden (65203);Biebrich - Mitte,  Wiesbaden (65203);0;;;;
285;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);352;;;;
286;Erbenheim - Mitte; Wiesbaden (65205);Erbenheim - Mitte,  Wiesbaden (65205);0;;;;
287;Nordenstadt - Ost; Wiesbaden (65205);Nordenstadt - Ost,  Wiesbaden (65205);0;;;;
288;Auringen - Mitte; Wiesbaden (65207);Auringen - Mitte,  Wiesbaden (65207);0;;;;
289;Riederbergstrasse; Wiesbaden (65195);Riederbergstrasse,  Wiesbaden (65195);1000;;;;
290;Hasengartenstrasse; Wiesbaden (65189);Hasengartenstrasse,  Wiesbaden (65189);390;;;;
291;Lessingstrasse; Wiesbaden (65189);Lessingstrasse,  Wiesbaden (65189);635;;;;
292;Daimlerstrasse / Fischbacher Strasse; Wiesbaden (65197);Daimlerstrasse / Fischbacher Strasse,  Wiesbaden (65197);0;;;;
293;Sudfriedhof; Wiesbaden (65187);Sudfriedhof,  Wiesbaden (65187);210;;;;
294;Komponistenviertel; Wiesbaden (65193);Komponistenviertel,  Wiesbaden (65193);0;;;;
295;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);352;;;;
296;Mosbachtal; Wiesbaden (65187);Mosbachtal,  Wiesbaden (65187);0;;;;
297;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
298;Gräselberg; Wiesbaden (65187);Gräselberg,  Wiesbaden (65187);352;;;;
299;Gibb; Wiesbaden (65203);Gibb,  Wiesbaden (65203);330;;;;
300;Waldstrasse; Wiesbaden (65197);Waldstrasse,  Wiesbaden (65197);345;;;;
